event_id,game_id,team_id,period,type,sub_type,main_player_id,second_player,third_player,main_location x,main_location y,second_location x,second_location y,home_team,Distance,away_team,venue,league_name,game_date,home_starts_left_side,seconds,event_index,h1,h2,h3,h4,h5,h6,a1,a2,a3,a4,a5,a6,h_goalie_id,a_goalie_id,ENG,away_state,home_state,game_state,game_state_2,face_off,Goal,Time of Goal/Faceoff,60 Second Cutoff,Events leading up to goal
195,15,10,1,zone_exit,chip,75,125,,26,77,,,10,0,2,,AHL,12/16/16,,486,15486,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
196,15,2,1,puck_recovery,,125,,,6,92,,,10,0,2,,AHL,12/16/16,,487,15487,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
197,15,2,1,pass,,125,126,,6,62,13,46,10,17.4642492,2,,AHL,12/16/16,,487,15487,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
198,15,2,1,zone_entry,skate,126,89,,26,31,,,10,0,2,,AHL,12/16/16,,489,15489,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
199,15,2,1,shot,,126,,,52,-15,,,10,0,2,,AHL,12/16/16,,491,15491,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
200,15,2,1,puck_recovery,,126,,,77,-77,,,10,0,2,,AHL,12/16/16,,494,15494,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
201,15,2,1,pass,,126,106,,77,-92,71,92,10,184.0978001,2,,AHL,12/16/16,,497,15497,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
202,15,2,1,pass,,106,125,,71,92,45,92,10,26,2,,AHL,12/16/16,,498,15498,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
203,15,2,1,shot,,125,,,26,62,,,10,0,2,,AHL,12/16/16,,498,15498,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
204,15,2,1,puck_recovery,,126,,,58,-92,,,10,0,2,,AHL,12/16/16,,498,15498,66,70,75,89,94,95,105,106,116,124,125,126,66,105,0,5,5,5v5,EV,0,0,0,0,1
205,15,2,1,goal,,124,126,,77,-62,,,10,0,2,,AHL,12/16/16,,507,15507,66,71,72,83,91,92,105,128,111,115,122,131,66,105,0,5,5,5v5,EV,0,1,0,447,1
708,15,10,2,giveaway_takeaway,,85,131,,97,31,,,10,0,2,,AHL,12/16/16,,1804,151804,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
709,15,2,2,zone_exit,skate,131,,,26,0,,,10,0,2,,AHL,12/16/16,,1805,151805,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
710,15,2,2,zone_entry,skate,131,73,,-26,15,,,10,0,2,,AHL,12/16/16,,1807,151807,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
711,15,2,2,pass,,131,121,,-32,0,-52,-62,10,65.1459899,2,,AHL,12/16/16,,1809,151809,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
712,15,2,2,pass,,121,116,,-65,-77,-32,-77,10,33,2,,AHL,12/16/16,,1813,151813,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
713,15,2,2,pass,,116,121,,-32,-77,-84,-77,10,52,2,,AHL,12/16/16,,1816,151816,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
714,15,2,2,pass,,121,123,,-97,-62,-45,92,10,162.5423022,2,,AHL,12/16/16,,1819,151819,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
715,15,2,2,pass,,123,116,,-65,92,-32,92,10,33,2,,AHL,12/16/16,,1820,151820,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
716,15,2,2,pass,,116,133,,-32,62,-58,-62,10,126.6964877,2,,AHL,12/16/16,,1822,151822,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
717,15,2,2,shot,,133,,,-65,-46,,,10,0,2,,AHL,12/16/16,,1825,151825,66,88,82,85,70,78,105,111,121,123,131,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
718,15,2,2,goal,,121,133,116,-77,-31,,,10,0,2,,AHL,12/16/16,,1826,151826,66,95,70,75,89,94,105,111,121,133,123,131,66,105,0,5,5,5v5,EV,0,1,0,1766,1
1273,15,10,3,pass,,97,98,,-45,-92,-97,0,10,105.6787585,2,,AHL,12/16/16,,3301,153301,66,98,85,97,71,72,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1274,15,10,3,pass,,98,85,,-84,77,-97,46,10,33.61547263,2,,AHL,12/16/16,,3303,153303,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1275,15,10,3,pass,,85,78,,-84,77,-39,92,10,47.4341649,2,,AHL,12/16/16,,3307,153307,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1276,15,10,3,blocked_shot,,78,106,,-71,15,-45,46,10,40.45985665,2,,AHL,12/16/16,,3308,153308,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1277,15,10,3,puck_recovery,,78,,,-32,15,,,10,0,2,,AHL,12/16/16,,3310,153310,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1278,15,10,3,pass,,78,73,,-32,0,-39,-77,10,77.31752712,2,,AHL,12/16/16,,3311,153311,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1279,15,10,3,blocked_shot,,73,126,,-45,-31,-32,-31,10,13,2,,AHL,12/16/16,,3314,153314,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1280,15,10,3,puck_recovery,,98,,,-97,-31,,,10,0,2,,AHL,12/16/16,,3316,153316,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1281,15,10,3,pass,,98,85,,-97,-31,-84,-92,10,62.36986452,2,,AHL,12/16/16,,3317,153317,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1282,15,10,3,pass,,85,73,,-77,-92,-32,-92,10,45,2,,AHL,12/16/16,,3318,153318,66,73,78,98,85,97,105,106,116,126,124,125,66,105,0,5,5,5v5,EV,0,0,0,0,1
1283,15,10,3,goal,,73,85,98,-39,-15,,,10,0,2,,AHL,12/16/16,,3322,153322,66,73,78,83,88,91,105,129,111,115,117,120,66,105,0,5,5,5v5,EV,0,1,0,3262,1
1304,15,10,3,zone_exit,failed,78,113,,26,77,,,10,0,2,,AHL,12/16/16,,3378,153378,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1305,15,10,3,puck_recovery,,73,,,77,31,,,10,0,2,,AHL,12/16/16,,3384,153384,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1306,15,10,3,pass,,73,83,,77,46,58,92,10,49.76946855,2,,AHL,12/16/16,,3386,153386,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1307,15,10,3,zone_exit,pass,83,133,88,45,77,13,-31,10,112.6410227,2,,AHL,12/16/16,,3387,153387,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1308,15,10,3,giveaway_takeaway,,88,110,,-45,0,,,10,0,2,,AHL,12/16/16,,3390,153390,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1309,15,2,3,zone_exit,pass,110,78,123,-45,46,6,92,10,68.68041933,2,,AHL,12/16/16,,3392,153392,66,73,78,83,88,91,105,129,110,113,123,133,66,105,0,5,5,5v5,EV,0,0,0,0,1
1310,15,10,3,puck_recovery,,82,,,39,77,,,10,0,2,,AHL,12/16/16,,3396,153396,66,82,99,70,75,92,105,106,133,113,121,123,66,105,0,5,5,5v5,EV,0,0,0,0,1
1311,15,10,3,pass,,82,75,,52,62,65,0,10,63.34824386,2,,AHL,12/16/16,,3397,153397,66,82,99,70,75,92,105,106,133,113,121,123,66,105,0,5,5,5v5,EV,0,0,0,0,1
1312,15,10,3,zone_exit,pass,75,,99,58,-15,-13,-31,10,72.78049189,2,,AHL,12/16/16,,3399,153399,66,82,99,70,75,92,105,106,133,113,121,123,66,105,0,5,5,5v5,EV,0,0,0,0,1
