Main_Player,blocked_shot,faceoff,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit,Second_Player,blocked_shot,faceoff,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit,Second_Player,blocked_shot,faceoff,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit,Ratios,blocked_shot,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit
2,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
3,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
4,0,0,1,0,0,0,0,10,1,4,0,0,0,4,0,0,2,0,0,0,0,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
5,18,0,27,0,3,13,0,193,2,41,14,48,74,5,12,0,41,0,7,0,0,185,3,0,0,72,26,5,0,0,0,3,0,0,0,0,0,0,0,4,2,,,,,,,,,,,,,
6,23,0,57,3,7,35,0,374,1,80,35,71,151,6,26,0,77,4,12,0,0,364,3,0,0,116,42,6,0,0,0,2,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,
7,41,0,81,1,24,31,0,390,8,148,32,135,239,7,20,0,123,2,24,0,0,358,4,0,0,179,73,7,0,0,0,3,0,0,0,0,0,0,0,2,7,,,,,,,,,,,,,
8,6,0,24,0,1,5,0,95,2,24,7,26,51,8,14,0,34,0,5,0,0,75,2,0,0,41,14,8,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,
9,6,0,24,0,14,6,0,87,5,40,8,23,43,9,4,0,21,0,3,0,0,70,4,0,0,39,7,9,0,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
10,4,0,15,0,8,4,0,55,3,20,13,23,41,10,6,0,21,0,4,0,0,58,0,0,0,23,9,10,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
11,11,0,35,0,5,9,0,260,4,62,21,61,105,11,11,1,58,4,3,0,0,190,0,0,0,86,35,11,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,
12,25,0,48,1,7,25,0,358,2,103,34,98,168,12,16,1,84,4,10,0,0,302,4,0,0,72,52,12,0,0,0,3,0,0,0,0,0,0,0,4,13,,,,,,,,,,,,,
13,13,0,34,0,0,10,0,233,3,75,20,74,130,13,20,0,58,1,14,0,0,192,4,0,0,80,25,13,0,0,0,3,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
14,46,0,54,2,3,31,0,378,1,81,50,102,222,14,13,0,82,3,8,0,0,407,2,0,0,99,41,14,0,0,0,2,0,0,0,0,0,0,0,2,3,,,,,,,,,,,,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
16,40,0,100,4,6,41,0,464,6,139,66,161,268,16,27,0,117,6,8,0,0,452,2,0,0,128,51,16,0,0,0,8,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,
17,11,3,95,6,32,22,0,153,2,76,47,156,83,17,10,0,67,4,21,0,0,204,11,0,0,93,143,17,0,0,0,2,0,0,0,0,0,0,0,14,69,,,,,,,,,,,,,
18,6,71,38,2,9,6,0,112,1,58,16,67,59,18,4,55,37,3,4,0,0,123,4,0,0,43,54,18,0,0,0,1,0,0,0,0,0,0,0,7,21,,,,,,,,,,,,,
19,0,27,17,1,7,3,0,38,3,21,1,20,20,19,2,17,17,0,8,0,0,36,2,0,0,19,33,19,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,
20,17,93,52,5,26,21,0,240,4,100,34,98,75,20,8,78,71,0,12,0,0,248,3,0,0,70,134,20,0,0,0,2,0,0,0,0,0,0,0,14,41,,,,,,,,,,,,,
21,5,1,28,0,5,2,0,55,2,23,8,36,18,21,4,0,27,0,7,0,0,44,0,0,0,11,28,21,0,0,0,0,0,0,0,0,0,0,0,3,17,,,,,,,,,,,,,
22,7,4,26,1,6,7,0,68,3,38,14,57,49,22,3,1,25,1,7,0,0,88,2,0,0,21,48,22,0,0,0,1,0,0,0,0,0,0,0,4,18,,,,,,,,,,,,,
23,2,16,33,0,8,8,0,102,2,40,6,61,48,23,4,25,42,3,14,0,0,102,4,0,0,33,49,23,0,0,0,1,0,0,0,0,0,0,0,2,22,,,,,,,,,,,,,
24,34,75,105,11,8,27,0,510,4,150,58,208,134,24,14,71,95,7,20,0,0,513,14,0,0,66,105,24,0,0,0,6,0,0,0,0,0,0,0,23,97,,,,,,,,,,,,,
25,8,3,36,3,13,16,0,108,6,53,30,92,76,25,8,0,43,0,14,0,0,153,5,0,0,41,62,25,0,0,0,2,0,0,0,0,0,0,0,5,31,,,,,,,,,,,,,
26,28,9,132,10,14,22,0,454,2,141,53,195,177,26,18,11,103,4,18,0,0,552,7,0,0,88,158,26,0,0,0,1,0,0,0,0,0,0,0,39,77,,,,,,,,,,,,,
27,1,0,0,0,0,0,0,2,0,2,0,2,2,27,1,0,4,0,0,0,0,2,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
28,13,2,45,3,7,11,0,208,1,87,30,111,84,28,1,1,41,2,21,0,0,220,2,0,0,52,94,28,0,0,0,2,0,0,0,0,0,0,0,10,35,,,,,,,,,,,,,
29,0,0,4,0,8,2,0,12,5,8,3,7,8,29,1,0,5,0,2,0,0,12,4,0,0,12,12,29,0,0,0,0,0,0,0,0,0,0,0,1,5,,,,,,,,,,,,,
30,17,147,123,4,12,19,0,384,8,129,32,195,149,30,12,149,110,4,9,0,0,381,7,0,0,93,118,30,0,0,0,3,0,0,0,0,0,0,0,17,69,,,,,,,,,,,,,
31,13,103,55,3,15,10,0,277,5,84,20,95,63,31,8,101,75,2,10,0,0,255,6,0,0,48,94,31,0,0,0,2,0,0,0,0,0,0,0,10,27,,,,,,,,,,,,,
32,5,2,43,5,12,8,0,127,7,41,6,47,39,32,2,1,22,3,4,0,0,153,4,0,0,17,47,32,0,0,0,2,0,0,0,0,0,0,0,4,16,,,,,,,,,,,,,
33,23,2,114,2,6,16,0,407,4,155,34,139,109,33,2,0,102,6,4,0,0,377,2,0,0,68,111,33,0,0,0,3,0,0,0,0,0,0,0,31,61,,,,,,,,,,,,,
34,15,146,83,10,17,18,1,242,6,123,41,150,120,34,6,166,92,6,16,0,0,256,8,0,0,56,89,34,0,0,0,7,0,0,0,0,0,0,0,10,44,,,,,,,,,,,,,
35,15,4,75,6,42,29,0,230,13,119,36,147,106,35,12,5,67,8,14,0,0,255,8,0,0,92,176,35,0,0,0,2,0,0,0,0,0,0,0,18,57,,,,,,,,,,,,,
36,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
37,0,0,3,0,0,0,0,10,0,6,0,1,2,37,1,0,1,1,0,0,0,3,1,0,0,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
38,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
39,0,0,2,0,0,0,0,10,0,9,1,0,1,39,0,0,1,0,0,0,0,3,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
40,7,0,14,0,8,3,0,80,1,32,4,24,50,40,5,0,18,2,5,0,0,59,1,0,0,44,13,40,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
41,71,0,142,9,8,58,0,812,10,221,90,196,347,41,26,0,136,7,21,0,0,789,8,0,0,184,105,41,0,0,0,6,0,0,0,0,0,0,0,9,30,,,,,,,,,,,,,
42,24,0,78,2,21,19,0,282,7,110,41,135,216,42,34,0,107,2,16,0,0,293,2,0,0,185,39,42,0,0,0,1,0,0,0,0,0,0,0,0,9,,,,,,,,,,,,,
43,2,2,32,1,6,7,0,171,4,48,7,50,95,43,7,1,50,1,6,0,0,131,1,0,0,67,37,43,0,0,0,2,0,0,0,0,0,0,0,2,6,,,,,,,,,,,,,
44,26,0,118,2,21,25,0,355,14,158,37,128,253,44,25,0,144,2,14,0,0,338,5,0,0,171,56,44,0,0,0,2,0,0,0,0,0,0,0,3,5,,,,,,,,,,,,,
45,45,1,100,1,1,25,0,574,5,148,54,146,295,45,22,0,132,7,25,0,0,551,3,0,0,157,91,45,0,0,0,3,0,0,0,0,0,0,0,1,16,,,,,,,,,,,,,
46,45,0,107,4,6,34,0,496,8,159,54,172,286,46,29,0,127,3,10,0,0,487,6,0,0,166,68,46,0,0,0,6,0,0,0,0,0,0,0,4,8,,,,,,,,,,,,,
47,12,0,51,2,12,10,0,248,4,87,13,81,130,47,30,0,71,1,19,0,0,213,0,0,0,126,35,47,0,0,0,3,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
48,9,1,75,4,21,13,0,142,4,83,19,110,82,48,6,2,67,2,20,0,0,152,11,0,0,43,101,48,0,0,0,3,0,0,0,0,0,0,0,14,54,,,,,,,,,,,,,
49,4,37,79,6,32,10,0,201,6,77,27,130,104,49,20,46,79,2,13,0,0,213,7,0,0,74,116,49,0,0,0,2,0,0,0,0,0,0,0,13,52,,,,,,,,,,,,,
50,40,3,80,12,9,34,0,320,0,130,58,136,90,50,12,4,69,5,14,0,0,340,2,0,0,67,143,50,0,0,0,3,0,0,0,0,0,0,0,30,60,,,,,,,,,,,,,
51,7,1,112,6,11,13,0,269,2,95,32,142,78,51,7,5,53,10,25,0,0,324,14,0,0,53,106,51,0,0,0,4,0,0,0,0,0,0,0,41,71,,,,,,,,,,,,,
52,8,60,54,3,3,9,0,143,7,73,17,90,74,52,7,57,53,2,8,0,0,153,1,0,0,48,83,52,0,0,0,3,0,0,0,0,0,0,0,6,27,,,,,,,,,,,,,
53,1,12,3,0,0,0,0,21,4,9,1,8,13,53,0,6,5,0,1,0,0,20,2,0,0,5,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
54,0,1,13,0,1,2,0,13,1,11,1,8,7,54,0,0,9,0,2,0,0,12,1,0,0,7,2,54,0,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,,,,,,,,
55,15,87,73,3,12,14,0,179,4,92,32,154,124,55,19,73,102,8,14,0,0,233,2,0,0,77,109,55,0,0,0,4,0,0,0,0,0,0,0,9,45,,,,,,,,,,,,,
56,17,145,50,2,11,19,0,207,6,91,28,114,89,56,9,101,71,3,8,0,0,194,3,0,0,68,106,56,0,0,0,2,0,0,0,0,0,0,0,9,34,,,,,,,,,,,,,
57,18,5,58,6,7,19,0,287,3,103,39,154,116,57,13,4,81,5,14,0,0,325,10,0,0,75,115,57,0,0,0,7,0,0,0,0,0,0,0,17,54,,,,,,,,,,,,,
58,28,0,88,6,7,20,0,186,11,89,48,161,91,58,8,10,77,8,17,0,0,251,15,0,0,46,128,58,0,0,0,3,0,0,0,0,0,0,0,23,67,,,,,,,,,,,,,
59,11,3,90,12,26,27,0,365,6,130,54,174,100,59,14,7,82,3,16,0,0,344,7,0,0,84,137,59,0,0,0,3,0,0,0,0,0,0,0,46,84,,,,,,,,,,,,,
60,16,91,87,3,18,21,0,374,7,110,24,154,87,60,9,84,56,8,15,0,0,378,8,0,0,40,92,60,0,0,0,7,0,0,0,0,0,0,0,12,52,,,,,,,,,,,,,
61,4,13,14,0,0,3,0,31,0,20,5,34,27,61,1,14,21,0,4,0,0,31,0,0,0,22,29,61,0,0,0,0,0,0,0,0,0,0,0,3,8,,,,,,,,,,,,,
62,25,199,92,12,5,20,0,575,8,170,56,187,142,62,9,141,119,6,14,0,0,535,11,0,0,94,173,62,0,0,0,11,0,0,0,0,0,0,0,13,52,,,,,,,,,,,,,
63,14,25,96,6,3,11,0,442,5,98,29,156,110,63,9,43,72,7,10,0,0,421,7,0,0,48,138,63,0,0,0,3,0,0,0,0,0,0,0,16,74,,,,,,,,,,,,,
64,0,0,0,0,0,1,0,1,0,0,0,0,0,64,0,0,1,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
65,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
66,0,0,3,0,0,0,0,31,0,25,0,0,0,66,0,0,0,0,0,0,0,1,2,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
67,0,0,2,0,0,0,0,6,0,7,0,1,2,67,0,1,0,0,0,0,0,1,0,0,0,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
68,0,0,1,0,0,0,0,1,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
69,7,0,38,0,10,9,0,104,2,53,16,42,66,69,12,0,30,0,8,0,0,132,1,0,0,43,13,69,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
70,28,0,89,1,16,25,0,383,6,146,41,131,202,70,15,0,108,3,8,0,0,353,2,0,0,121,41,70,0,0,0,3,0,0,0,0,0,0,0,2,8,,,,,,,,,,,,,
71,10,0,43,0,11,4,0,143,1,56,6,45,78,71,21,0,49,0,9,0,0,111,1,0,0,67,17,71,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
72,37,0,90,1,7,24,0,403,8,148,39,150,220,72,35,0,122,3,23,0,0,366,4,0,0,142,58,72,0,0,0,3,0,0,0,0,0,0,0,1,16,,,,,,,,,,,,,
73,46,0,115,4,18,29,0,585,10,202,43,183,349,73,51,0,141,3,10,0,0,556,4,0,0,173,52,73,0,0,0,4,0,0,0,0,0,0,0,1,9,,,,,,,,,,,,,
74,5,0,17,0,8,4,0,84,1,36,8,31,41,74,11,0,21,1,10,0,0,62,0,0,0,36,11,74,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
75,62,0,89,4,22,44,0,558,7,139,67,155,260,75,36,0,101,9,18,0,0,627,4,0,0,144,72,75,0,0,0,7,0,0,0,0,0,0,0,3,11,,,,,,,,,,,,,
76,34,0,114,1,10,27,0,530,5,156,46,113,210,76,11,0,122,6,13,0,0,495,2,0,0,125,53,76,0,0,0,6,0,0,0,0,0,0,0,7,14,,,,,,,,,,,,,
77,17,0,21,2,3,3,0,107,1,40,10,35,64,77,5,1,23,0,6,0,0,107,2,0,0,33,15,77,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
78,18,0,54,2,8,8,0,247,3,100,14,77,126,78,27,0,83,0,16,0,0,199,3,0,0,97,17,78,0,0,0,3,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,
79,5,77,29,0,28,5,0,103,2,57,19,64,47,79,12,75,35,3,9,0,0,81,2,0,0,48,55,79,0,0,0,1,0,0,0,0,0,0,0,5,23,,,,,,,,,,,,,
80,2,7,2,0,2,0,0,6,3,3,2,6,7,80,1,5,5,0,1,0,0,10,0,0,0,5,4,80,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
81,8,0,47,3,14,14,0,116,3,67,23,116,87,81,8,3,45,1,10,0,0,145,6,0,0,55,97,81,0,0,0,1,0,0,0,0,0,0,0,7,52,,,,,,,,,,,,,
82,15,286,132,6,21,15,0,369,6,156,50,229,178,82,20,239,142,4,14,0,0,370,8,0,0,129,166,82,0,0,0,4,0,0,0,0,0,0,0,14,77,,,,,,,,,,,,,
83,19,20,94,13,11,29,0,457,7,141,52,144,129,83,12,14,87,9,20,0,0,484,4,0,0,71,142,83,0,0,0,2,0,0,0,0,0,0,0,20,54,,,,,,,,,,,,,
84,3,11,5,0,0,0,0,47,0,5,1,7,5,84,0,6,8,0,0,0,0,42,0,0,0,3,6,84,0,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
85,26,3,110,9,12,21,0,345,3,147,64,205,164,85,13,3,121,7,13,0,0,367,8,0,0,84,133,85,0,0,0,3,0,0,0,0,0,0,0,17,85,,,,,,,,,,,,,
86,0,0,1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,1,0,0,0,2,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
87,12,1,90,2,21,23,0,173,11,71,33,134,88,87,7,2,60,4,19,0,0,219,3,0,0,62,93,87,0,0,0,1,0,0,0,0,0,0,0,14,65,,,,,,,,,,,,,
88,16,0,83,5,1,12,0,330,1,90,43,135,103,88,14,1,76,6,4,0,0,341,7,0,0,77,140,88,0,0,0,7,0,0,0,0,0,0,0,9,50,,,,,,,,,,,,,
89,8,3,31,2,8,10,0,86,4,45,12,52,36,89,8,2,27,1,1,0,0,101,4,0,0,26,56,89,0,0,0,0,0,0,0,0,0,0,0,5,20,,,,,,,,,,,,,
90,0,2,2,0,0,0,0,3,0,1,1,1,3,90,0,7,2,0,0,0,0,4,0,0,0,3,3,90,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,
91,13,132,104,8,20,13,0,210,5,129,46,168,125,91,15,148,129,3,20,0,0,203,12,0,0,60,105,91,0,0,0,2,0,0,0,0,0,0,0,13,49,,,,,,,,,,,,,
92,14,68,67,4,5,16,0,324,8,115,43,111,80,92,7,68,79,4,7,0,0,319,3,0,0,54,119,92,0,0,0,2,0,0,0,0,0,0,0,11,40,,,,,,,,,,,,,
93,0,7,7,0,0,1,0,26,1,14,2,9,9,93,1,8,13,0,0,0,0,18,0,0,0,6,7,93,0,0,0,0,0,0,0,0,0,0,0,1,5,,,,,,,,,,,,,
94,7,66,64,2,27,16,0,210,2,92,31,124,118,94,4,64,77,5,13,0,0,232,4,0,0,92,111,94,0,0,0,0,0,0,0,0,0,0,0,13,52,,,,,,,,,,,,,
95,6,1,62,0,11,6,0,96,5,53,20,92,75,95,15,2,48,2,6,0,0,152,4,0,0,42,80,95,0,0,0,2,0,0,0,0,0,0,0,7,27,,,,,,,,,,,,,
96,5,1,48,5,34,7,0,117,7,69,20,97,67,96,11,1,54,2,16,0,0,138,3,0,0,70,108,96,0,0,0,0,0,0,0,0,0,0,0,6,35,,,,,,,,,,,,,
97,13,0,136,7,5,29,0,519,3,178,50,187,164,97,9,2,101,3,19,0,0,519,6,0,0,70,123,97,0,0,0,4,0,0,0,0,0,0,0,20,84,,,,,,,,,,,,,
98,9,154,92,5,10,13,0,369,7,115,36,129,92,98,13,181,98,5,20,0,0,341,10,0,0,99,128,98,0,0,0,10,0,0,0,0,0,0,0,22,59,,,,,,,,,,,,,
99,6,0,4,2,0,3,0,34,2,11,8,12,14,99,0,0,14,0,2,0,0,28,3,0,0,8,8,99,0,0,0,0,0,0,0,0,0,0,0,2,4,,,,,,,,,,,,,
100,3,2,14,0,1,2,0,50,0,23,6,27,22,100,3,0,19,0,3,0,0,47,0,0,0,23,18,100,0,0,0,2,0,0,0,0,0,0,0,2,13,,,,,,,,,,,,,
