Row Labels,blocked_shot,faceoff,giveaway_takeaway,goal,hit,missed_shot,other,pass,penalty,puck_recovery,shot,zone_entry,zone_exit,Grand Total
2,0,0,0,0,0,0,0,3,0,2,0,0,0,5
3,0,0,2,0,0,0,0,1,0,0,0,0,0,3
4,0,0,1,0,0,0,0,10,1,4,0,0,0,16
5,18,0,27,0,3,13,0,193,2,41,14,48,74,433
6,23,0,57,3,7,35,0,374,1,80,35,71,151,837
7,41,0,81,1,24,31,0,390,8,148,32,135,239,1130
8,6,0,24,0,1,5,0,95,2,24,7,26,51,241
9,6,0,24,0,14,6,0,87,5,40,8,23,43,256
10,4,0,15,0,8,4,0,55,3,20,13,23,41,186
11,11,0,35,0,5,9,0,260,4,62,21,61,105,573
12,25,0,48,1,7,25,0,358,2,103,34,98,168,869
13,13,0,34,0,0,10,0,233,3,75,20,74,130,592
14,46,0,54,2,3,31,0,378,1,81,50,102,222,970
16,40,0,100,4,6,41,0,464,6,139,66,161,268,1295
17,11,3,95,6,32,22,0,153,2,76,47,156,83,686
18,6,71,38,2,9,6,0,112,1,58,16,67,59,445
19,0,27,17,1,7,3,0,38,3,21,1,20,20,158
20,17,93,52,5,26,21,0,240,4,100,34,98,75,765
21,5,1,28,0,5,2,0,55,2,23,8,36,18,183
22,7,4,26,1,6,7,0,68,3,38,14,57,49,280
23,2,16,33,0,8,8,0,102,2,40,6,61,48,326
24,34,75,105,11,8,27,0,510,4,150,58,208,134,1324
25,8,3,36,3,13,16,0,108,6,53,30,92,76,444
26,28,9,132,10,14,22,0,454,2,141,53,195,177,1237
27,1,0,0,0,0,0,0,2,0,2,0,2,2,9
28,13,2,45,3,7,11,0,208,1,87,30,111,84,602
29,0,0,4,0,8,2,0,12,5,8,3,7,8,57
30,17,147,123,4,12,19,0,384,8,129,32,195,149,1219
31,13,103,55,3,15,10,0,277,5,84,20,95,63,743
32,5,2,43,5,12,8,0,127,7,41,6,47,39,342
33,23,2,114,2,6,16,0,407,4,155,34,139,109,1011
34,15,146,83,10,17,18,1,242,6,123,41,150,120,972
35,15,4,75,6,42,29,0,230,13,119,36,147,106,822
36,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,0,0,3,0,0,0,0,10,0,6,0,1,2,22
39,0,0,2,0,0,0,0,10,0,9,1,0,1,23
40,7,0,14,0,8,3,0,80,1,32,4,24,50,223
41,71,0,142,9,8,58,0,812,10,221,90,196,347,1964
42,24,0,78,2,21,19,0,282,7,110,41,135,216,935
43,2,2,32,1,6,7,0,171,4,48,7,50,95,425
44,26,0,118,2,21,25,0,355,14,158,37,128,253,1137
45,45,1,100,1,1,25,0,574,5,148,54,146,295,1395
46,45,0,107,4,6,34,0,496,8,159,54,172,286,1371
47,12,0,51,2,12,10,0,248,4,87,13,81,130,650
48,9,1,75,4,21,13,0,142,4,83,19,110,82,563
49,4,37,79,6,32,10,0,201,6,77,27,130,104,713
50,40,3,80,12,9,34,0,320,0,130,58,136,90,912
51,7,1,112,6,11,13,0,269,2,95,32,142,78,768
52,8,60,54,3,3,9,0,143,7,73,17,90,74,541
53,1,12,3,0,0,0,0,21,4,9,1,8,13,72
54,0,1,13,0,1,2,0,13,1,11,1,8,7,58
55,15,87,73,3,12,14,0,179,4,92,32,154,124,789
56,17,145,50,2,11,19,0,207,6,91,28,114,89,779
57,18,5,58,6,7,19,0,287,3,103,39,154,116,815
58,28,0,88,6,7,20,0,186,11,89,48,161,91,735
59,11,3,90,12,26,27,0,365,6,130,54,174,100,998
60,16,91,87,3,18,21,0,374,7,110,24,154,87,992
61,4,13,14,0,0,3,0,31,0,20,5,34,27,151
62,25,199,92,12,5,20,0,575,8,170,56,187,142,1491
63,14,25,96,6,3,11,0,442,5,98,29,156,110,995
64,0,0,0,0,0,1,0,1,0,0,0,0,0,2
66,0,0,3,0,0,0,0,31,0,25,0,0,0,59
67,0,0,2,0,0,0,0,6,0,7,0,1,2,18
68,0,0,1,0,0,0,0,1,0,2,0,0,0,4
69,7,0,38,0,10,9,0,104,2,53,16,42,66,347
70,28,0,89,1,16,25,0,383,6,146,41,131,202,1068
71,10,0,43,0,11,4,0,143,1,56,6,45,78,397
72,37,0,90,1,7,24,0,403,8,148,39,150,220,1127
73,46,0,115,4,18,29,0,585,10,202,43,183,349,1584
74,5,0,17,0,8,4,0,84,1,36,8,31,41,235
75,62,0,89,4,22,44,0,558,7,139,67,155,260,1407
76,34,0,114,1,10,27,0,530,5,156,46,113,210,1246
77,17,0,21,2,3,3,0,107,1,40,10,35,64,303
78,18,0,54,2,8,8,0,247,3,100,14,77,126,657
79,5,77,29,0,28,5,0,103,2,57,19,64,47,436
80,2,7,2,0,2,0,0,6,3,3,2,6,7,40
81,8,0,47,3,14,14,0,116,3,67,23,116,87,498
82,15,286,132,6,21,15,0,369,6,156,50,229,178,1463
83,19,20,94,13,11,29,0,457,7,141,52,144,129,1116
84,3,11,5,0,0,0,0,47,0,5,1,7,5,84
85,26,3,110,9,12,21,0,345,3,147,64,205,164,1109
86,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,12,1,90,2,21,23,0,173,11,71,33,134,88,659
88,16,0,83,5,1,12,0,330,1,90,43,135,103,819
89,8,3,31,2,8,10,0,86,4,45,12,52,36,297
90,0,2,2,0,0,0,0,3,0,1,1,1,3,13
91,13,132,104,8,20,13,0,210,5,129,46,168,125,973
92,14,68,67,4,5,16,0,324,8,115,43,111,80,855
93,0,7,7,0,0,1,0,26,1,14,2,9,9,76
94,7,66,64,2,27,16,0,210,2,92,31,124,118,759
95,6,1,62,0,11,6,0,96,5,53,20,92,75,427
96,5,1,48,5,34,7,0,117,7,69,20,97,67,477
97,13,0,136,7,5,29,0,519,3,178,50,187,164,1291
98,9,154,92,5,10,13,0,369,7,115,36,129,92,1031
99,6,0,4,2,0,3,0,34,2,11,8,12,14,96
100,3,2,14,0,1,2,0,50,0,23,6,27,22,150
101,0,0,1,0,0,1,0,14,0,6,0,0,0,22
102,1,0,1,0,0,0,0,3,0,1,0,0,0,6
103,0,0,0,0,0,0,0,2,0,2,0,0,1,5
104,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105,0,0,1,0,0,0,0,9,2,3,0,1,2,18
106,31,0,75,0,34,21,0,375,12,135,34,158,218,1093
107,12,0,32,0,8,14,0,183,11,72,15,68,91,506
108,0,0,0,0,0,0,0,0,0,0,0,0,1,1
109,6,0,27,1,1,6,0,122,0,31,17,21,40,272
110,17,0,76,0,7,14,0,371,4,107,24,102,176,898
111,16,0,107,0,6,28,0,580,9,159,37,119,233,1294
112,9,0,19,0,3,3,0,72,1,37,11,47,49,251
113,19,0,64,3,12,17,0,159,8,78,25,112,155,652
114,2,0,29,0,7,2,0,86,2,40,10,38,45,261
115,28,0,68,3,7,24,0,320,1,79,38,100,124,792
116,43,0,120,2,7,47,0,736,4,215,54,170,360,1758
117,7,5,90,11,40,22,0,204,7,114,33,108,86,727
118,1,0,1,0,0,0,0,4,0,2,0,2,1,11
120,18,2,79,4,10,18,0,285,7,94,44,121,100,782
121,12,50,79,8,15,8,0,383,7,124,35,158,121,1000
122,1,12,17,1,4,3,0,33,2,17,8,25,22,145
123,9,2,116,4,5,7,0,367,6,94,20,171,138,939
124,7,183,55,4,36,12,0,197,8,102,26,135,132,897
125,7,6,60,0,27,14,0,154,10,95,25,138,111,647
126,1,0,68,4,26,9,0,127,7,70,9,95,66,482
127,2,6,44,1,12,7,0,136,8,77,16,97,70,476
128,8,123,64,3,39,6,0,170,13,112,34,120,84,776
129,9,253,97,13,23,16,0,347,4,140,52,182,132,1268
130,1,1,26,1,4,3,0,38,0,23,10,23,20,150
131,15,12,91,4,14,17,0,296,3,107,36,161,99,855
132,1,7,0,0,0,0,0,10,0,5,1,4,5,33
133,12,92,72,6,4,20,0,183,12,63,38,95,59,656
134,7,1,51,2,4,8,0,147,2,49,20,68,52,411
135,12,34,34,6,5,9,0,154,1,39,25,61,41,421
136,0,0,0,0,0,0,0,11,0,3,0,0,0,14
137,0,0,1,0,0,0,0,6,0,6,0,0,1,14
138,0,0,2,0,0,0,0,6,0,1,0,0,0,9
139,28,0,69,1,5,18,0,319,11,87,34,82,151,805
140,20,0,70,3,14,12,0,298,5,110,17,90,140,779
141,39,0,100,5,5,19,0,949,8,166,31,115,233,1670
142,12,0,66,1,54,9,0,397,8,118,15,104,180,964
143,8,0,36,0,6,0,0,129,7,55,9,53,102,405
144,20,1,98,1,23,15,0,515,21,159,25,113,238,1229
145,32,0,101,2,8,28,0,595,7,132,32,133,223,1293
146,0,0,1,0,0,0,0,0,0,0,0,0,0,1
147,1,0,9,0,0,1,0,30,0,5,0,8,13,67
148,12,0,113,1,12,12,0,417,10,118,16,106,200,1017
149,1,0,11,0,2,3,0,51,2,16,2,1,14,103
150,9,1,33,1,6,7,0,102,1,28,15,44,43,290
151,57,6,147,9,8,53,0,888,14,193,80,235,241,1931
152,10,3,60,0,5,12,0,181,4,63,16,128,130,612
153,20,191,135,9,4,22,0,639,4,157,35,233,151,1600
154,14,6,132,9,9,29,0,433,5,148,50,193,148,1176
155,13,1,65,7,9,9,0,221,4,79,28,86,69,591
156,0,0,1,0,0,1,0,1,0,1,0,0,0,4
157,9,192,120,3,20,10,0,312,13,127,43,152,126,1127
158,4,0,69,4,26,15,0,243,17,111,27,162,139,817
159,2,0,17,0,1,2,0,52,0,23,5,29,21,152
160,11,2,79,6,14,7,0,248,14,102,39,128,90,740
161,10,23,79,7,6,17,0,221,6,107,36,122,108,742
162,15,127,79,6,23,14,0,228,6,101,18,101,110,828
163,9,229,105,6,20,12,0,528,8,125,19,158,123,1342
164,42,1,101,12,3,26,0,304,1,95,54,182,133,954
165,26,3,76,10,5,18,0,440,4,106,39,101,78,906
166,15,13,97,6,23,16,0,332,8,137,45,186,139,1017
167,0,1,4,0,0,0,0,13,1,10,0,1,2,32
