Row Labels_2,blocked_shot_2,faceoff_2,giveaway_takeaway_2,goal_2,hit_2,pass_2,penalty_2,zone_entry_2,zone_exit_2,Grand Total_2
2,0,0,0,0,0,0,1,1,0,2
3,0,0,0,0,0,0,1,0,0,1
4,0,0,2,0,0,3,2,0,0,7
5,12,0,41,0,7,185,3,72,26,346
6,26,0,77,4,12,364,3,116,42,644
7,20,0,123,2,24,358,4,179,73,783
8,14,0,34,0,5,75,2,41,14,185
9,4,0,21,0,3,70,4,39,7,148
10,6,0,21,0,4,58,0,23,9,121
11,11,1,58,4,3,190,0,86,35,388
12,16,1,84,4,10,302,4,72,52,545
13,20,0,58,1,14,192,4,80,25,394
14,13,0,82,3,8,407,2,99,41,655
16,27,0,117,6,8,452,2,128,51,791
17,10,0,67,4,21,204,11,93,143,553
18,4,55,37,3,4,123,4,43,54,327
19,2,17,17,0,8,36,2,19,33,134
20,8,78,71,0,12,248,3,70,134,624
21,4,0,27,0,7,44,0,11,28,121
22,3,1,25,1,7,88,2,21,48,196
23,4,25,42,3,14,102,4,33,49,276
24,14,71,95,7,20,513,14,66,105,905
25,8,0,43,0,14,153,5,41,62,326
26,18,11,103,4,18,552,7,88,158,959
27,1,0,4,0,0,2,0,0,4,11
28,1,1,41,2,21,220,2,52,94,434
29,1,0,5,0,2,12,4,12,12,48
30,12,149,110,4,9,381,7,93,118,883
31,8,101,75,2,10,255,6,48,94,599
32,2,1,22,3,4,153,4,17,47,253
33,2,0,102,6,4,377,2,68,111,672
34,6,166,92,6,16,256,8,56,89,695
35,12,5,67,8,14,255,8,92,176,637
37,1,0,1,1,0,3,1,1,2,10
38,0,0,0,0,0,0,1,0,0,1
39,0,0,1,0,0,3,0,0,0,4
40,5,0,18,2,5,59,1,44,13,147
41,26,0,136,7,21,789,8,184,105,1276
42,34,0,107,2,16,293,2,185,39,678
43,7,1,50,1,6,131,1,67,37,301
44,25,0,144,2,14,338,5,171,56,755
45,22,0,132,7,25,551,3,157,91,988
46,29,0,127,3,10,487,6,166,68,896
47,30,0,71,1,19,213,0,126,35,495
48,6,2,67,2,20,152,11,43,101,404
49,20,46,79,2,13,213,7,74,116,570
50,12,4,69,5,14,340,2,67,143,656
51,7,5,53,10,25,324,14,53,106,597
52,7,57,53,2,8,153,1,48,83,412
53,0,6,5,0,1,20,2,5,4,43
54,0,0,9,0,2,12,1,7,2,33
55,19,73,102,8,14,233,2,77,109,637
56,9,101,71,3,8,194,3,68,106,563
57,13,4,81,5,14,325,10,75,115,642
58,8,10,77,8,17,251,15,46,128,560
59,14,7,82,3,16,344,7,84,137,694
60,9,84,56,8,15,378,8,40,92,690
61,1,14,21,0,4,31,0,22,29,122
62,9,141,119,6,14,535,11,94,173,1102
63,9,43,72,7,10,421,7,48,138,755
64,0,0,1,0,0,1,0,0,0,2
66,0,0,0,0,0,1,2,0,0,3
67,0,1,0,0,0,1,0,0,1,3
69,12,0,30,0,8,132,1,43,13,239
70,15,0,108,3,8,353,2,121,41,651
71,21,0,49,0,9,111,1,67,17,275
72,35,0,122,3,23,366,4,142,58,753
73,51,0,141,3,10,556,4,173,52,990
74,11,0,21,1,10,62,0,36,11,152
75,36,0,101,9,18,627,4,144,72,1011
76,11,0,122,6,13,495,2,125,53,827
77,5,1,23,0,6,107,2,33,15,192
78,27,0,83,0,16,199,3,97,17,442
79,12,75,35,3,9,81,2,48,55,320
80,1,5,5,0,1,10,0,5,4,31
81,8,3,45,1,10,145,6,55,97,370
82,20,239,142,4,14,370,8,129,166,1092
83,12,14,87,9,20,484,4,71,142,843
84,0,6,8,0,0,42,0,3,6,65
85,13,3,121,7,13,367,8,84,133,749
86,0,0,0,0,0,1,0,2,2,5
87,7,2,60,4,19,219,3,62,93,469
88,14,1,76,6,4,341,7,77,140,666
89,8,2,27,1,1,101,4,26,56,226
90,0,7,2,0,0,4,0,3,3,19
91,15,148,129,3,20,203,12,60,105,695
92,7,68,79,4,7,319,3,54,119,660
93,1,8,13,0,0,18,0,6,7,53
94,4,64,77,5,13,232,4,92,111,602
95,15,2,48,2,6,152,4,42,80,351
96,11,1,54,2,16,138,3,70,108,403
97,9,2,101,3,19,519,6,70,123,852
98,13,181,98,5,20,341,10,99,128,895
99,0,0,14,0,2,28,3,8,8,63
100,3,0,19,0,3,47,0,23,18,113
101,0,0,0,0,0,2,0,0,0,2
102,0,0,0,0,0,2,0,1,0,3
103,1,0,1,0,0,0,0,0,1,3
105,0,0,0,0,0,2,6,0,0,8
106,48,0,132,4,29,380,8,174,51,826
107,21,0,57,1,15,159,2,76,18,349
108,0,0,0,0,1,1,0,0,0,2
109,7,0,29,1,5,124,0,35,3,204
110,27,0,75,2,14,352,1,131,49,651
111,23,0,117,2,14,481,4,160,62,863
112,8,0,28,0,9,82,0,47,17,191
113,25,1,79,3,11,190,8,99,33,449
114,12,0,28,1,1,67,1,46,20,176
115,14,0,67,4,8,342,0,103,64,602
116,28,0,164,10,4,588,4,198,77,1073
117,20,3,72,5,13,233,4,77,118,545
118,0,1,0,0,2,4,0,0,3,10
120,1,2,57,5,3,327,9,63,125,592
121,28,49,83,2,12,380,7,107,150,818
122,1,19,19,0,2,39,1,29,25,135
123,3,4,67,6,17,379,9,60,100,645
124,35,200,92,2,16,206,7,85,155,798
125,32,15,58,0,22,204,3,107,127,568
126,9,0,32,2,10,155,6,51,60,325
127,12,7,56,3,20,139,6,53,84,380
128,17,129,81,3,23,159,22,76,132,642
129,15,214,94,4,20,379,10,98,155,989
130,0,1,15,0,3,53,1,14,40,127
131,4,13,66,6,18,279,2,63,122,573
132,1,12,2,0,1,6,1,2,2,27
