Time, EventCount, TurnoverType
9, 2, puck_recovery
4, 2, giveaway_takeaway
0, 1, zone_entry
3, 2, giveaway_takeaway
4, 1, pass
1, 1, zone_entry
18, 5, pass
1, 1, zone_entry
1, 1, giveaway_takeaway
5, 3, pass
1, 1, zone_exit
10, 4, giveaway_takeaway
1, 1, giveaway_takeaway
5, 1, puck_recovery
7, 1, puck_recovery
1, 1, giveaway_takeaway
0, 3, giveaway_takeaway
0, 1, giveaway_takeaway
3, 2, giveaway_takeaway
1, 1, pass
6, 2, pass
17, 9, pass
2, 1, pass
23, 8, giveaway_takeaway
8, 2, pass
13, 1, pass
0, 1, giveaway_takeaway
1, 1, giveaway_takeaway
1, 1, pass
1, 1, puck_recovery
3, 1, giveaway_takeaway
0, 1, giveaway_takeaway
2, 1, giveaway_takeaway
1, 1, zone_exit
23, 7, giveaway_takeaway
3, 1, missed_shot
2, 1, zone_exit
1, 1, puck_recovery
5, 1, puck_recovery
1, 1, pass
1, 2, zone_exit
0, 1, pass
4, 1, pass
1, 1, giveaway_takeaway
7, 3, puck_recovery
6, 1, zone_exit
1, 1, zone_entry
10, 4, pass
3, 1, zone_entry
2, 1, pass
14, 5, puck_recovery
8, 5, giveaway_takeaway
2, 1, pass
9, 6, goal
6, 2, missed_shot
2, 1, giveaway_takeaway
1, 1, puck_recovery
10, 4, pass
7, 4, puck_recovery
2, 1, puck_recovery
9, 1, puck_recovery
1, 1, giveaway_takeaway
1, 1, zone_exit
8, 2, zone_entry
1, 1, shot
4, 1, puck_recovery
22, 10, zone_exit
4, 1, puck_recovery
1, 1, puck_recovery
2, 2, zone_exit
2, 2, puck_recovery
2, 1, hit
1, 1, giveaway_takeaway
10, 1, puck_recovery
1, 1, pass
1, 1, pass
0, 1, pass
31, 12, pass
0, 1, zone_entry
0, 1, giveaway_takeaway
0, 1, zone_exit
0, 1, pass
0, 1, puck_recovery
0, 1, giveaway_takeaway
0, 1, giveaway_takeaway
7, 6, goal
1, 1, giveaway_takeaway
4, 1, pass
1, 1, zone_exit
12, 5, pass
0, 1, giveaway_takeaway
1, 1, zone_entry
1, 1, puck_recovery
24, 9, zone_entry
10, 6, giveaway_takeaway
7, 5, giveaway_takeaway
11, 4, pass
1, 1, giveaway_takeaway
7, 3, pass
3, 1, pass
17, 6, pass
10, 2, zone_entry
